time,seconds_elapsed,relativeAltitude,pressure
1759866472809055500,386.4680554199219,-1.9024429321289062,1022.93603515625
1759866472909043200,386.56804321289064,-1.7914657592773438,1022.9228515625
1759866473009031400,386.6680314941406,-1.8865890502929688,1022.934326171875
1759866473109019400,386.7680192871094,-1.8865890502929688,1022.934326171875
1759866473209007400,386.86800732421875,-1.9817123413085938,1022.9453125
1759866473308995300,386.9679953613281,-1.865447998046875,1022.931396484375
1759866473408983300,387.0679833984375,-1.865447998046875,1022.931396484375
1759866473508971300,387.16797119140625,-2.1243896484375,1022.962890625
1759866473608959200,387.2679592285156,-2.1930923461914062,1022.970947265625
1759866473708947200,387.367947265625,-2.1930923461914062,1022.970947265625
1759866473808935000,387.46793481445314,-1.765045166015625,1022.919677734375
1759866473908923000,387.5679228515625,-1.9711380004882812,1022.944580078125
1759866474008911000,387.6679111328125,-2.119110107421875,1022.962158203125
1759866474108899300,387.7678994140625,-2.1613845825195312,1022.967041015625
1759866474208887600,387.8678874511719,-1.9341506958007812,1022.93994140625
1759866474308875500,387.96787548828127,-1.9500045776367188,1022.942138671875
1759866474408863700,388.06786376953124,-1.8390274047851562,1022.928466796875
1759866474508852200,388.1678522949219,-1.9024429321289062,1022.935791015625
1759866474608840200,388.26784008789065,-2.0134124755859375,1022.94921875
1759866474708828700,388.36782861328123,-1.9711380004882812,1022.944580078125
1759866474808817000,388.46781689453127,-1.9235763549804688,1022.938720703125
1759866474908804900,388.56780493164064,-1.8601608276367188,1022.930908203125
1759866475008792800,388.6677927246094,-1.8813018798828125,1022.93359375
1759866475108780800,388.76778076171877,-1.9658584594726562,1022.94384765625
1759866475208769000,388.86776904296875,-2.02398681640625,1022.95068359375
1759866475308757200,388.9677573242187,-1.9130096435546875,1022.937255859375
1759866475408745500,389.06774536132815,-1.8865890502929688,1022.933837890625
1759866475508733700,389.1677336425781,-1.9341506958007812,1022.940185546875
1759866475608722000,389.2677219238281,-2.1085357666015625,1022.961181640625
